"species","longitude","latitude","ID","Bio3","Bio4","Bio7","Bio9","Bio13","Bio14","Bio15","Bio18","Settlement_dist","River_dist","Road_dist"
"elephant",35.93063333,-3.57088333,140,70.7317047119141,155.634094238281,16.3999996185303,20.3500003814697,153,1,91.60205078125,324,6516.4541015625,1306.27404785156,0.058333333581686
"elephant",35.9655,-3.56028333,141,71.4939041137695,152.739501953125,16.3999996185303,20.4166660308838,151,1,91.7088165283203,231,8704.79296875,1842.95581054688,0.058333333581686
"elephant",35.95665,-3.5034,142,71.3190155029297,149.156097412109,16.2999992370605,20.533332824707,150,1,92.4336471557617,318,5605.85791015625,0,0.0235702265053988
"elephant",35.92118333,-3.51193333,143,69.7916641235352,157.934112548828,16,20.2666664123535,150,1,90.63916015625,319,7023.0517578125,0,0.0506896860897541
"elephant",35.91545,-3.4614,144,69.3396224975586,158.201904296875,15.8999996185303,20.1499996185303,150,1,91.1343154907227,229,3816.86694335938,2612.71313476562,0
"elephant",35.95541667,-3.5136,145,71.4723892211914,150.330459594727,16.2999992370605,20.5,153,1,93.2269058227539,323,6516.4541015625,0,0.030046259984374
"elephant",36.00996667,-3.778,146,71.2448501586914,157.12077331543,16.2000007629395,20.033332824707,148,1,90.9390716552734,327,9302.4697265625,0,0
"elephant",35.93285,-3.91721667,147,70.5337677001953,159.351791381836,15.3000011444092,20,145,1,90.5188674926758,333,3332.53442382812,921.485412597656,0
"elephant",35.96566667,-3.8337,148,70.3354263305664,158.420227050781,15.8999996185303,19.9833335876465,148,1,89.7957534790039,331,7429.74853515625,921.4833984375,0.0166666675359011
"elephant",35.97026667,-3.87675,149,70.5627746582031,157.509002685547,15.3999996185303,19.7333335876465,151,1,91.2175827026367,342,3326.95776367188,3918.189453125,0.0166666675359011
"elephant",35.99701667,-3.5988,150,70.682731628418,155.402694702148,16.5999984741211,20.2666664123535,149,1,90.4227752685547,232,6450.35302734375,921.478515625,0.0343592129647732
"elephant",36.04103333,-3.55423333,151,71.2851409912109,153.460083007812,16.5999984741211,20.1166667938232,162,1,93.9882965087891,238,7407.1875,1842.95483398438,0.00833333376795053
"elephant",36.02083333,-3.59176667,152,71.3855438232422,156.377044677734,16.5999984741211,20.1499996185303,150,1,91.4608306884766,322,7022.90283203125,925.856750488281,0.0117851132526994
"elephant",36.01883333,-3.6054,153,71.4357452392578,156.720031738281,16.5999984741211,20.1499996185303,152,1,91.4091949462891,233,6187.2861328125,1306.25659179688,0.0166666675359011
"elephant",36.01303333,-3.5969,154,71.084342956543,155.01953125,16.5999984741211,20.1499996185303,153,1,91.8335189819336,326,6710.85205078125,1306.25659179688,0.0186339002102613
"elephant",35.95408333,-3.78286667,155,71.0122680664062,158.450714111328,16.3000011444092,20.1333332061768,152,1,89.8605880737305,334,2925.90356445312,921.482299804688,0
"elephant",35.9209,-3.85516667,156,67.9617080688477,167.256729125977,14.8000001907349,19.8166675567627,136,1,89.6217727661133,319,6653.9443359375,0,0
"elephant",35.93825,-3.83846667,157,69.5887451171875,163.238998413086,15.3999996185303,19.9166660308838,151,1,90.7189712524414,333,7429.74609375,921.4833984375,0.00833333376795053
"elephant",36.0649,-3.52221667,158,71.5447158813477,152.963134765625,16.3999996185303,20.1833324432373,154,1,93.7081832885742,231,5917.64404296875,0,0.00833333376795053
"elephant",36.03781667,-3.61946667,159,71.4990158081055,158.370010375977,16.8999996185303,20.1666660308838,153,1,92.1830139160156,236,5830.67822265625,925.831481933594,0.00833333376795053
"elephant",36.13878333,-3.5218,160,71.4141387939453,154.559509277344,16.5,19.466667175293,169,1,93.0748825073242,256,3816.64624023438,1851.86279296875,0.00833333376795053
"elephant",35.89991667,-3.78628333,161,70.8841400146484,155.959274291992,16.4000015258789,20.3166656494141,149,2,89.05419921875,333,4135.95947265625,1306.12512207031,0.0117851132526994
"elephant",35.9137,-3.78553333,162,70.3933792114258,158.4345703125,16.0999984741211,20.1499996185303,147,2,88.0010452270508,333,2612.25634765625,921.482299804688,0.00833333376795053
"elephant",35.88645,-3.79066667,163,71.5656509399414,154.749938964844,16.5,20.4166660308838,150,2,88.5487365722656,335,3815.55590820312,2062.357421875,0.00833333376795053
"elephant",35.89966667,-3.79645,164,71.1145172119141,157.602172851562,16.2999992370605,20.283332824707,154,2,88.0422821044922,343,4620.77734375,921.482666015625,0.00833333376795053
"elephant",35.8947,-3.81873333,165,69.6202545166016,162.123672485352,15.7999992370605,20.1499996185303,145,2,87.200553894043,335,5390.91796875,921.483032226562,0
